UID          PID    PPID  C STIME TTY          TIME CMD
devasc      1805    1276  0 09:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
devasc      1813    1276  0 09:19 ?        00:00:01 /usr/bin/python3 /usr/share/system-config-printer/applet.py
devasc      1814    1276  0 09:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
devasc      1852    1276  0 09:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
devasc      1864    1276  0 09:19 ?        00:00:02 /usr/libexec/evolution-data-server/evolution-alarm-notify
devasc      1869    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1882       1  0 09:19 ?        00:00:03 /usr/lib/upower/upowerd
devasc      1887    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
devasc      1892    1258  0 09:19 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
devasc      1897    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
devasc      1924    1258  0 09:19 ?        00:00:00 /usr/libexec/evolution-source-registry
devasc      1940    1258  0 09:19 ?        00:00:00 /usr/libexec/evolution-calendar-factory
devasc      1949    1645  0 09:19 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
devasc      1963    1258  0 09:19 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
devasc      2011    1258  0 09:19 ?        00:00:01 /usr/libexec/gvfsd-metadata
devasc      2048    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      2050    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      2088    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      2226    1645  0 09:21 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
devasc      2255    1645  0 09:21 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/3
devasc      2456    1429  0 09:26 ?        00:00:00 [sh] <defunct>
devasc      2458    1429  0 09:26 ?        00:00:00 [sh] <defunct>
devasc      2498    1429  0 09:26 ?        00:00:00 [sh] <defunct>
devasc      2580    1429  0 09:30 ?        00:00:00 [sh] <defunct>
devasc      2582    1429  0 09:30 ?        00:00:00 [sh] <defunct>
devasc      2622    1429  0 09:30 ?        00:00:00 [sh] <defunct>
devasc      2882    1429  0 09:51 ?        00:00:00 [sh] <defunct>
devasc      2884    1429  0 09:51 ?        00:00:00 [sh] <defunct>
devasc      2922    1429  0 09:51 ?        00:00:00 [sh] <defunct>
devasc      3089    1429  0 09:57 ?        00:00:00 [sh] <defunct>
devasc      3091    1429  0 09:57 ?        00:00:00 [sh] <defunct>
devasc      3131    1429  0 09:57 ?        00:00:00 [sh] <defunct>
devasc      3253    1429  0 09:59 ?        00:00:00 [sh] <defunct>
devasc      3255    1429  0 09:59 ?        00:00:00 [sh] <defunct>
devasc      3295    1429  0 09:59 ?        00:00:00 [sh] <defunct>
devasc      3711    1429  0 10:04 ?        00:00:00 [sh] <defunct>
devasc      3713    1429  0 10:04 ?        00:00:00 [sh] <defunct>
devasc      3756    1429  0 10:04 ?        00:00:00 [sh] <defunct>
devasc      3834    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      3836    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      3876    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      3918    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      3920    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      3964    1429  0 10:05 ?        00:00:00 [sh] <defunct>
devasc      4054    1429  0 10:10 ?        00:00:00 [sh] <defunct>
devasc      4056    1429  0 10:10 ?        00:00:00 [sh] <defunct>
devasc      4096    1429  0 10:10 ?        00:00:00 [sh] <defunct>
devasc      4197    1429  0 10:12 ?        00:00:00 [sh] <defunct>
devasc      4199    1429  0 10:12 ?        00:00:00 [sh] <defunct>
devasc      4241    1429  0 10:12 ?        00:00:00 [sh] <defunct>
devasc      4509    1429  0 10:15 ?        00:00:00 [sh] <defunct>
devasc      4511    1429  0 10:15 ?        00:00:00 [sh] <defunct>
devasc      4553    1429  0 10:15 ?        00:00:00 [sh] <defunct>
devasc      4656    1429  0 10:18 ?        00:00:00 [sh] <defunct>
devasc      4658    1429  0 10:18 ?        00:00:00 [sh] <defunct>
devasc      4698    1429  0 10:18 ?        00:00:00 [sh] <defunct>
devasc      4815    1429  0 10:22 ?        00:00:00 [sh] <defunct>
devasc      4817    1429  0 10:22 ?        00:00:00 [sh] <defunct>
devasc      4855    1429  0 10:22 ?        00:00:00 [sh] <defunct>
devasc      5364    1429  0 10:27 ?        00:00:00 [sh] <defunct>
devasc      5366    1429  0 10:27 ?        00:00:00 [sh] <defunct>
devasc      5404    1429  0 10:27 ?        00:00:00 [sh] <defunct>
devasc      5486    1429  0 10:37 ?        00:00:00 [sh] <defunct>
devasc      5488    1429  0 10:37 ?        00:00:00 [sh] <defunct>
devasc      5526    1429  0 10:37 ?        00:00:00 [sh] <defunct>
devasc      5612    1722  4 10:42 ?        00:13:13 /usr/lib/firefox/firefox
devasc      5713    5612  0 10:42 ?        00:00:11 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6318 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
devasc      5745    5612  0 10:42 ?        00:00:34 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 7154 -prefMapSize 216193 -parentBuildID 20200602222727 -appdir /usr/lib/firefox/browser 5612 true tab
